CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
134       0.0074  9         0.0108  3         0.0069  libjvm.so                PhiNode::Opcode() const
134       0.0074  3         0.0036  1         0.0023  libjvm.so                Runtime1::counter_overflow(JavaThread*, int, Method*)
134       0.0074  4         0.0048  3         0.0069  vmlinux                  init_exit__readv
133       0.0073  1         0.0012  2         0.0046  libjvm.so                MethodLiveness::compute_liveness()
133       0.0073  0              0  0              0  libjvm.so                create_inline_record(nmethod*)
133       0.0073  8         0.0096  1         0.0023  libjvm.so                find_hihghest_bit(unsigned int)
133       0.0073  4         0.0048  3         0.0069  vmlinux                  prof_sysexit_disable__ssetmask
132       0.0073  9         0.0108  3         0.0069  libjvm.so                AddPNode::bottom_type() const
132       0.0073  0              0  0              0  libjvm.so                InstanceKlass::get_jmethod_id(instanceKlassHandle, methodHandle)
132       0.0073  4         0.0048  4         0.0093  vmlinux                  congestion_wait
132       0.0073  3         0.0036  2         0.0046  vmlinux                  trace_default_header
131       0.0072  17        0.0204  0              0  libjvm.so                PhaseIterGVN::PhaseIterGVN(PhaseGVN*)
130       0.0072  0              0  5         0.0116  libjvm.so                ClassLoaderData::oops_do(OopClosure*, KlassClosure*, bool)
130       0.0072  2         0.0024  2         0.0046  vmlinux                  tc_get_qdisc
129       0.0071  7         0.0084  2         0.0046  libjvm.so                MemNode::Ideal_common(PhaseGVN*, bool)
128       0.0071  3         0.0036  2         0.0046  libjvm.so                JvmtiVMObjectAllocEventCollector::~JvmtiVMObjectAllocEventCollector()
128       0.0071  2         0.0024  2         0.0046  libjvm.so                SymbolTable::lookup_only(char const*, int, unsigned int&)
127       0.0070  0              0  0              0  libc-2.12.so             sched_yield
127       0.0070  51        0.0613  242       0.5601  libjvm.so                ObjArrayKlass::oop_oop_iterate_nv(oopDesc*, FastScanClosure*)
127       0.0070  18        0.0216  0              0  libjvm.so                PhaseCFG::remove_empty_blocks()
127       0.0070  3         0.0036  6         0.0139  vmlinux                  flush_itimer_signals
126       0.0070  1         0.0012  3         0.0069  libjvm.so                SimpleThresholdPolicy::event(methodHandle, methodHandle, int, int, CompLevel, nmethod*, JavaThread*)
126       0.0070  7         0.0084  3         0.0069  libjvm.so                State::MachOperGenerator(int, Compile*)
126       0.0070  5         0.0060  2         0.0046  vmlinux                  min_ratio_show
126       0.0070  9         0.0108  5         0.0116  vmlinux                  tcp_current_mss
125       0.0069  12        0.0144  0              0  libjvm.so                ConnectionGraph::add_node_to_connection_graph(Node*, Unique_Node_List*)
125       0.0069  9         0.0108  1         0.0023  vmlinux                  fib4_rules_exit
125       0.0069  6         0.0072  3         0.0069  vmlinux                  usermodehelper_disable
124       0.0068  6         0.0072  1         0.0023  libjvm.so                PhaseCCP::transform_once(Node*)
124       0.0068  2         0.0024  1         0.0023  libjvm.so                PhaseConservativeCoalesce::copy_copy(Node*, Node*, Block*, unsigned int)
124       0.0068  5         0.0060  3         0.0069  vmlinux                  prof_sysenter_enable__pwritev
123       0.0068  8         0.0096  0              0  libjvm.so                IfFalseNode::Opcode() const
123       0.0068  8         0.0096  0              0  libjvm.so                PhaseChaitin::yank_if_dead_recurse(Node*, Node*, Block*, Node_List*, Node_List*)
123       0.0068  2         0.0024  2         0.0046  libjvm.so                Symbol::equals(char const*, int) const
123       0.0068  11        0.0132  4         0.0093  vmlinux                  ftrace_define_fields_mm_vmscan_kswapd_wake
123       0.0068  4         0.0048  2         0.0046  vmlinux                  futex_wait_restart
122       0.0067  11        0.0132  2         0.0046  libjvm.so                PhaseIdealLoop::has_local_phi_input(Node*)
121       0.0067  0              0  1         0.0023  libopagent.so.1.0.1      /usr/lib64/oprofile/libopagent.so.1.0.1
121       0.0067  5         0.0060  6         0.0139  vmlinux                  ftrace_raw_output_module_request
120       0.0066  9         0.0108  2         0.0046  libjvm.so                Compile::flatten_alias_type(TypePtr const*) const
120       0.0066  2         0.0024  4         0.0093  vmlinux                  cipso_v4_doi_getdef
120       0.0066  6         0.0072  2         0.0046  vmlinux                  vmstat_start
119       0.0066  5         0.0060  1         0.0023  libjvm.so                MachNode::Opcode() const
119       0.0066  5         0.0060  4         0.0093  libjvm.so                State::DFA(int, Node const*)
119       0.0066  2         0.0024  3         0.0069  libjvm.so                ciBytecodeStream::has_appendix()
118       0.0065  3         0.0036  0              0  libjvm.so                DebugInformationRecorder::create_scope_values(GrowableArray<ScopeValue*>*)
118       0.0065  4         0.0048  1         0.0023  libjvm.so                Node::uncast() const
117       0.0065  1         0.0012  1         0.0023  libjvm.so                Compile::FillLocArray(int, MachSafePointNode*, Node*, GrowableArray<ScopeValue*>*, GrowableArray<ScopeValue*>*)
117       0.0065  8         0.0096  2         0.0046  libjvm.so                IfTrueNode::Opcode() const
117       0.0065  7         0.0084  1         0.0023  libjvm.so                Type::remove_speculative() const
117       0.0065  6         0.0072  4         0.0093  libjvm.so                TypeNode::ideal_reg() const
117       0.0065  3         0.0036  3         0.0069  vmlinux                  bdi_has_dirty_io
116       0.0064  2         0.0024  2         0.0046  libjvm.so                JVM_CurrentThread
116       0.0064  3         0.0036  2         0.0046  libjvm.so                rRegPOper::type() const
116       0.0064  4         0.0048  2         0.0046  vmlinux                  tracing_reset_current_online_cpus
115       0.0063  4         0.0048  1         0.0023  libjvm.so                GlobalValueNumbering::GlobalValueNumbering(IR*)
115       0.0063  13        0.0156  1         0.0023  libjvm.so                Node_List::push(Node*)
115       0.0063  3         0.0036  1         0.0023  libjvm.so                ciBytecodeStream::get_declared_method_holder()
115       0.0063  5         0.0060  4         0.0093  vmlinux                  xfrm_policy_delete
114       0.0063  12        0.0144  0              0  libjvm.so                Node::cisc_operand() const
114       0.0063  5         0.0060  4         0.0093  libjvm.so                Parse::Parse(JVMState*, ciMethod*, float)
114       0.0063  7         0.0084  1         0.0023  vmlinux                  cipso_v4_skbuff_getattr
114       0.0063  6         0.0072  3         0.0069  vmlinux                  handle_futex_death
113       0.0062  5         0.0060  1         0.0023  libjvm.so                LinkResolver::lookup_method_in_klasses(methodHandle&, KlassHandle, Symbol*, Symbol*, bool, bool, Thread*)
113       0.0062  9         0.0108  1         0.0023  libjvm.so                PhaseIFG::Union(unsigned int, unsigned int)
112       0.0062  5         0.0060  2         0.0046  libjvm.so                Node::Node(Node*, Node*, Node*, Node*)
112       0.0062  7         0.0084  1         0.0023  libjvm.so                State::_sub_Op_ConL(Node const*)
112       0.0062  4         0.0048  2         0.0046  vmlinux                  ftrace_raw_init_event_mce_record
112       0.0062  4         0.0048  3         0.0069  vmlinux                  ftrace_raw_init_event_signal_deliver
111       0.0061  7         0.0084  4         0.0093  libjvm.so                SymbolTable::lookup(char const*, int, Thread*)
111       0.0061  1         0.0012  3         0.0069  libjvm.so                ciMethodBlocks::ciMethodBlocks(Arena*, ciMethod*)
111       0.0061  0              0  4         0.0093  libjvm.so                ciTypeFlow::Block::Block(ciTypeFlow*, ciBlock*, ciTypeFlow::JsrSet*)
110       0.0061  13        0.0156  2         0.0046  libjvm.so                MachNode::two_adr() const
110       0.0061  4         0.0048  1         0.0023  vmlinux                  compat_sys_io_getevents
110       0.0061  2         0.0024  1         0.0023  vmlinux                  ftrace_raw_output_hrtimer_start
110       0.0061  7         0.0084  3         0.0069  vmlinux                  snapshot_get_image_size
109       0.0060  5         0.0060  0              0  libjvm.so                Matcher::ReduceInst(State*, int, Node*&)
109       0.0060  7         0.0084  3         0.0069  vmlinux                  vfs_quota_off
108       0.0060  9         0.0108  0              0  libjvm.so                Compile::update_dead_node_list(Unique_Node_List&)
108       0.0060  8         0.0096  2         0.0046  libjvm.so                ProjNode::bottom_type() const
108       0.0060  2         0.0024  3         0.0069  libjvm.so                ciMethodData::load_data()
108       0.0060  2         0.0024  4         0.0093  libjvm.so                ciTypeFlow::StateVector::apply_one_bytecode(ciBytecodeStream*)
108       0.0060  4         0.0048  2         0.0046  vmlinux                  ftrace_raw_output_module_load
107       0.0059  18        0.0216  30        0.0694  libjvm.so                InstanceKlass::oop_oop_iterate_nv(oopDesc*, FilteringClosure*)
107       0.0059  4         0.0048  1         0.0023  vmlinux                  bio_kmalloc
107       0.0059  7         0.0084  2         0.0046  vmlinux                  vfs_quota_on_remount
107       0.0059  5         0.0060  2         0.0046  vmlinux                  xfrm_policy_kill
107       0.0059  5         0.0060  1         0.0023  vmlinux                  xt_unregister_targets
106       0.0058  7         0.0084  3         0.0069  vmlinux                  page_cache_sync_readahead
106       0.0058  2         0.0024  3         0.0069  vmlinux                  xt_register_matches
105       0.0058  9         0.0108  2         0.0046  libjvm.so                CollectedHeap::allocate_from_tlab_slow(KlassHandle, Thread*, unsigned long)
105       0.0058  8         0.0096  4         0.0093  libjvm.so                ConNode::Opcode() const
105       0.0058  2         0.0024  3         0.0069  libjvm.so                LinkResolver::resolve_method(methodHandle&, KlassHandle, Symbol*, Symbol*, KlassHandle, bool, bool, Thread*)
104       0.0057  2         0.0024  2         0.0046  libjvm.so                JVMState::of_depth(int) const
104       0.0057  6         0.0072  3         0.0069  libjvm.so                PhaseIdealLoop::has_node(Node*) const
104       0.0057  4         0.0048  3         0.0069  libjvm.so                ciBytecodeStream::has_method_type()
104       0.0057  4         0.0048  0              0  vmlinux                  account_kernel_stack
104       0.0057  6         0.0072  2         0.0046  vmlinux                  init_exit__delete_module
103       0.0057  3         0.0036  1         0.0023  libjvm.so                BitMap::resize(unsigned long, bool)
103       0.0057  0              0  5         0.0116  libjvm.so                MethodLiveness::BasicBlock::propagate(MethodLiveness*)
103       0.0057  1         0.0012  0              0  vmlinux                  ftrace_define_fields_mm_vmscan_direct_reclaim_begin
102       0.0056  8         0.0096  2         0.0046  libjvm.so                IfNode::Opcode() const
102       0.0056  2         0.0024  2         0.0046  libjvm.so                Interval::add_use_pos(int, IntervalUseKind)
102       0.0056  5         0.0060  4         0.0093  libjvm.so                Matcher::ReduceInst_Interior(State*, int, Node*&, MachNode*, unsigned int)
102       0.0056  3         0.0036  1         0.0023  libjvm.so                Monitor::lock(Thread*)
102       0.0056  7         0.0084  4         0.0093  libjvm.so                Parse::do_call()
102       0.0056  6         0.0072  3         0.0069  libjvm.so                Parse::return_current(Node*)
102       0.0056  9         0.0108  0              0  libjvm.so                PhaseConservativeCoalesce::coalesce(Block*)
102       0.0056  6         0.0072  4         0.0093  libjvm.so                PhaseIdealLoop::remix_address_expressions(Node*)
102       0.0056  2         0.0024  1         0.0023  vmlinux                  genl_ctrl_event
101       0.0056  2         0.0024  1         0.0023  libjvm.so                GraphBuilder::invoke(Bytecodes::Code)
101       0.0056  4         0.0048  1         0.0023  libjvm.so                ciField::initialize_from(fieldDescriptor*)
101       0.0056  5         0.0060  3         0.0069  vmlinux                  sys_setpriority
100       0.0055  5         0.0060  2         0.0046  vmlinux                  igmp_net_exit
100       0.0055  2         0.0024  2         0.0046  vmlinux                  sys_sigpending
99        0.0055  3         0.0036  1         0.0023  libc-2.12.so             _int_free
99        0.0055  2         0.0024  0              0  libjvm.so                BlockListBuilder::set_leaders()
99        0.0055  8         0.0096  3         0.0069  libjvm.so                aci_CopyRight
99        0.0055  7         0.0084  1         0.0023  libjvm.so                rRegIOper::type() const
98        0.0054  0              0  0              0  libc-2.12.so             __strlen_sse42
98        0.0054  12        0.0144  6         0.0139  libjvm.so                MachProjNode::bottom_type() const
98        0.0054  4         0.0048  1         0.0023  libjvm.so                ciBaseObject::ident()
97        0.0054  2         0.0024  0              0  libjvm.so                Symbol::decrement_refcount()
97        0.0054  4         0.0048  4         0.0093  vmlinux                  compat_sys_sendmmsg
97        0.0054  5         0.0060  4         0.0093  vmlinux                  ip_route_output_key
97        0.0054  4         0.0048  3         0.0069  vmlinux                  sys_exit_group
96        0.0053  2         0.0024  0              0  libc-2.12.so             free
96        0.0053  2         0.0024  0              0  libjvm.so                LinearScan::add_use(int, int, int, IntervalUseKind, BasicType)
96        0.0053  0              0  1         0.0023  libjvm.so                LinearScan::compute_debug_info_for_scope(int, IRScope*, ValueStack*, ValueStack*)
96        0.0053  1         0.0012  3         0.0069  libjvm.so                Parse::build_exits()
96        0.0053  1         0.0012  1         0.0023  vmlinux                  init_enter__epoll_create1
96        0.0053  0              0  2         0.0046  vmlinux                  try_to_freeze_tasks
95        0.0052  2         0.0024  3         0.0069  libc-2.12.so             malloc
95        0.0052  1         0.0012  2         0.0046  libjvm.so                AdvancedThresholdPolicy::select_task(CompileQueue*)
95        0.0052  11        0.0132  15        0.0347  libjvm.so                ContiguousSpace::block_size(HeapWord const*) const
95        0.0052  4         0.0048  5         0.0116  libjvm.so                Matcher::match_sfpt(SafePointNode*)
95        0.0052  1         0.0012  0              0  libjvm.so                Monitor::IWait(Thread*, long)
95        0.0052  2         0.0024  2         0.0046  libjvm.so                Thread::is_interrupted(Thread*, bool)
95        0.0052  0              0  1         0.0023  libjvmti_oprofile.so.0.0.0 /usr/lib64/oprofile/libjvmti_oprofile.so.0.0.0
95        0.0052  4         0.0048  0              0  vmlinux                  fib4_rule_flush_cache
94        0.0052  7         0.0084  0              0  libjvm.so                CodeBuffer::finalize_oop_references(methodHandle)
94        0.0052  3         0.0036  4         0.0093  libjvm.so                LoadNode::Value(PhaseTransform*) const
94        0.0052  4         0.0048  3         0.0069  libjvm.so                Method::is_accessor() const
94        0.0052  6         0.0072  1         0.0023  libjvm.so                PhiNode::out_RegMask() const
94        0.0052  4         0.0048  1         0.0023  libjvm.so                ThreadInVMfromNative::ThreadInVMfromNative(JavaThread*)
94        0.0052  3         0.0036  3         0.0069  libjvm.so                ciEnv::get_klass_by_name_impl(ciKlass*, constantPoolHandle, ciSymbol*, bool)
94        0.0052  1         0.0012  2         0.0046  libjvm.so                ciObjectFactory::get_unloaded_klass(ciKlass*, ciSymbol*, bool)
94        0.0052  5         0.0060  1         0.0023  libjvm.so                post_allocation_notify(KlassHandle, oopDesc*, int)
94        0.0052  2         0.0024  0              0  vmlinux                  prof_sysexit_enable__futex
94        0.0052  4         0.0048  1         0.0023  vmlinux                  quirk_via_vt8237_bypass_apic_deassert
94        0.0052  5         0.0060  0              0  vmlinux                  seq_path_root
93        0.0051  7         0.0084  1         0.0023  libjvm.so                InstanceKlass::add_dependent_nmethod(nmethod*)
93        0.0051  0              0  0              0  libjvm.so                ciMethodData::bci_to_data(int, ciMethod*)
93        0.0051  8         0.0096  1         0.0023  vmlinux                  tick_periodic
92        0.0051  6         0.0072  1         0.0023  libjvm.so                AddPNode::Opcode() const
92        0.0051  2         0.0024  4         0.0093  libjvm.so                Klass::class_loader() const
92        0.0051  3         0.0036  3         0.0069  libjvm.so                Parse::merge_common(Parse::Block*, int)
92        0.0051  11        0.0132  0              0  libjvm.so                PhaseBlockLayout::find_edges()
92        0.0051  6         0.0072  0              0  libjvm.so                PhasePeephole::do_transform()
92        0.0051  1         0.0012  3         0.0069  libjvm.so                ValueMap::find_insert(Instruction*)
92        0.0051  2         0.0024  1         0.0023  libjvm.so                loadNNode::rule() const
92        0.0051  4         0.0048  1         0.0023  vmlinux                  swsusp_swap_in_use
92        0.0051  1         0.0012  6         0.0139  vmlinux                  xfrm_alloc_userspi
91        0.0050  8         0.0096  4         0.0093  libjvm.so                BitMap::set_union(BitMap)
91        0.0050  8         0.0096  0              0  libjvm.so                BoolNode::Ideal(PhaseGVN*, bool)
91        0.0050  7         0.0084  2         0.0046  libjvm.so                IndexSet::initialize(unsigned int, Arena*)
90        0.0050  1         0.0012  1         0.0023  libjvm.so                GraphBuilder::try_inline_full(ciMethod*, bool, Bytecodes::Code, Instruction*)
90        0.0050  6         0.0072  1         0.0023  libjvm.so                IndexSet::populate_free_list()
90        0.0050  0              0  2         0.0046  libjvm.so                TypeInstPtr::remove_speculative() const
90        0.0050  2         0.0024  0              0  libjvm.so                ciObjectFactory::ciObjectFactory(Arena*, int)
90        0.0050  6         0.0072  3         0.0069  vmlinux                  ftrace_define_fields_module_load
89        0.0049  2         0.0024  0              0  libjvm.so                ConnectionGraph::add_fields_to_worklist(FieldNode*, PointsToNode*)
89        0.0049  9         0.0108  0              0  libjvm.so                RegMask::find_first_set(int) const
89        0.0049  4         0.0048  2         0.0046  vmlinux                  ftrace_raw_init_event_signal_generate
89        0.0049  1         0.0012  0              0  vmlinux                  xfrm_sad_getinfo
88        0.0049  9         0.0108  2         0.0046  libjvm.so                ConINode::Opcode() const
88        0.0049  5         0.0060  4         0.0093  libjvm.so                GraphKit::null_check_common(Node*, BasicType, bool, Node**)
88        0.0049  7         0.0084  2         0.0046  libjvm.so                InlineTree::find_subtree_from_root(InlineTree*, JVMState*, ciMethod*)
88        0.0049  5         0.0060  1         0.0023  libjvm.so                java_lang_Class::protection_domain(oopDesc*)
88        0.0049  3         0.0036  1         0.0023  vmlinux                  xfrm_get_acqseq
87        0.0048  3         0.0036  0              0  libjvm.so                CodeSection::relocate(unsigned char*, RelocationHolder const&, int)
87        0.0048  0              0  5         0.0116  libjvm.so                OopMapSet::find_map_at_offset(int) const
87        0.0048  5         0.0060  0              0  vmlinux                  ping_seq_stop
86        0.0047  4         0.0048  1         0.0023  libjvm.so                Chunk::operator new(unsigned long, AllocFailStrategy::AllocFailEnum, unsigned long)
86        0.0047  0              0  0              0  libjvm.so                ConnectionGraph::add_field_uses_to_worklist(FieldNode*)
86        0.0047  1         0.0012  0              0  libjvm.so                LinearScan::compute_global_live_sets()
86        0.0047  7         0.0084  2         0.0046  libjvm.so                Node::Ideal(PhaseGVN*, bool)
86        0.0047  10        0.0120  2         0.0046  libjvm.so                PhaseIdealLoop::clone_loop(IdealLoopTree*, Node_List&, int, Node*)
86        0.0047  5         0.0060  2         0.0046  libjvm.so                TypeInstPtr::add_offset(long) const
86        0.0047  3         0.0036  1         0.0023  libjvm.so                fieldDescriptor::reinitialize(InstanceKlass*, int)
86        0.0047  10        0.0120  17        0.0393  libjvm.so                oop_Relocation::unpack_data()
86        0.0047  3         0.0036  1         0.0023  vmlinux                  trace_function
86        0.0047  6         0.0072  2         0.0046  vmlinux                  xt_compat_unlock
85        0.0047  1         0.0012  1         0.0023  libjvm.so                ThreadCritical::ThreadCritical()
85        0.0047  4         0.0048  1         0.0023  vmlinux                  report_mmio_enabled
84        0.0046  4         0.0048  2         0.0046  libjvm.so                Arena::grow(unsigned long, AllocFailStrategy::AllocFailEnum)
84        0.0046  4         0.0048  4         0.0093  libjvm.so                JVMState::same_calls_as(JVMState const*) const
84        0.0046  2         0.0024  1         0.0023  libjvm.so                LIR_Assembler::emit_code(BlockList*)
84        0.0046  1         0.0012  1         0.0023  libjvm.so                SystemDictionary::find(Symbol*, Handle, Handle, Thread*)
84        0.0046  1         0.0012  0              0  libjvm.so                ciMethod::should_inline()
84        0.0046  6         0.0072  4         0.0093  vmlinux                  free_all_swap_pages
84        0.0046  4         0.0048  5         0.0116  vmlinux                  jiffies_to_timespec
83        0.0046  1         0.0012  0              0  libjvm.so                BlockBegin::try_merge(ValueStack*)
83        0.0046  1         0.0012  1         0.0023  libjvm.so                DictI::operator++()
83        0.0046  5         0.0060  1         0.0023  libjvm.so                LIRGenerator::state_for(Instruction*, ValueStack*, bool)
82        0.0045  3         0.0036  1         0.0023  libjvm.so                Compile::call_generator(ciMethod*, int, bool, JVMState*, bool, float, ciKlass*, bool, bool)
82        0.0045  11        0.0132  3         0.0069  libjvm.so                PhiNode::pinned() const
82        0.0045  0              0  0              0  libjvm.so                as_BasicType(LIR_OprDesc::OprType)
82        0.0045  6         0.0072  1         0.0023  libjvm.so                ciEnv::get_klass_by_index(constantPoolHandle, int, bool&, ciInstanceKlass*)
81        0.0045  1         0.0012  4         0.0093  libc-2.12.so             _IO_default_xsputn
81        0.0045  3         0.0036  2         0.0046  libjvm.so                ciField::ciField(ciInstanceKlass*, int)
81        0.0045  2         0.0024  0              0  libjvm.so                ciObjectFactory::remove_symbols()
81        0.0045  4         0.0048  2         0.0046  libjvm.so                oopDesc::size()
81        0.0045  2         0.0024  4         0.0093  vmlinux                  complete_and_exit
80        0.0044  1         0.0012  1         0.0023  libjvm.so                LocationValue::write_on(DebugInfoWriteStream*)
80        0.0044  0              0  0              0  libjvm.so                Node_Array::remove(unsigned int)
80        0.0044  2         0.0024  3         0.0069  vmlinux                  bio_init
80        0.0044  4         0.0048  1         0.0023  vmlinux                  ping_v4_get_port
79        0.0044  1         0.0012  1         0.0023  libjvm.so                GraphBuilder::append_with_bci(Instruction*, int)
79        0.0044  4         0.0048  3         0.0069  libjvm.so                ParmNode::is_CFG() const
79        0.0044  7         0.0084  5         0.0116  libjvm.so                PhaseCFG::set_next_call(Block*, Node*, VectorSet&)
79        0.0044  7         0.0084  0              0  libjvm.so                PhaseChaitin::fixup_spills()
78        0.0043  1         0.0012  1         0.0023  libjvm.so                CallInfo::set_common(KlassHandle, KlassHandle, methodHandle, methodHandle, CallInfo::CallKind, int, Thread*)
78        0.0043  2         0.0024  0              0  libjvm.so                GraphBuilder::access_field(Bytecodes::Code)
78        0.0043  8         0.0096  0              0  libjvm.so                JVM_IsInterface
78        0.0043  2         0.0024  0              0  libjvm.so                Label::patch_instructions(MacroAssembler*)
78        0.0043  3         0.0036  0              0  libjvm.so                PhaseChaitin::use_prior_register(Node*, unsigned int, Node*, Block*, Node_List&, Node_List&)
77        0.0042  2         0.0024  1         0.0023  libjvm.so                BlockBegin::iterate_preorder(boolArray&, BlockClosure*)
77        0.0042  11        0.0132  0              0  libjvm.so                CallNode::Value(PhaseTransform*) const
77        0.0042  5         0.0060  2         0.0046  libjvm.so                GraphKit::uncommon_trap(int, ciKlass*, char const*, bool, bool)
77        0.0042  2         0.0024  3         0.0069  libjvm.so                Node::Node(Node*, Node*)
77        0.0042  1         0.0012  1         0.0023  libjvm.so                Parse::create_entry_map()
77        0.0042  2         0.0024  0              0  libjvm.so                Parse::do_exits()
77        0.0042  5         0.0060  3         0.0069  libjvm.so                ciEnv::get_method_by_index_impl(constantPoolHandle, int, Bytecodes::Code, ciInstanceKlass*)
77        0.0042  1         0.0012  0              0  libjvm.so                runtime_call_Relocation::type()
77        0.0042  3         0.0036  3         0.0069  vmlinux                  ipv4_netfilter_fini
76        0.0042  0              0  0              0  libc-2.12.so             _IO_file_xsputn@@GLIBC_2.2.5
76        0.0042  2         0.0024  1         0.0023  libjvm.so                DataLayout::data_in()
76        0.0042  6         0.0072  1         0.0023  libjvm.so                IfNode::Value(PhaseTransform*) const
76        0.0042  1         0.0012  0              0  libjvm.so                MachOper::operator new(unsigned long, Compile*)
76        0.0042  5         0.0060  1         0.0023  libjvm.so                Parse::do_all_blocks()
76        0.0042  2         0.0024  1         0.0023  libjvm.so                PhaseChaitin::split_USE(Node*, Block*, Node*, unsigned int, unsigned int, bool, bool, GrowableArray<unsigned int>, int)
76        0.0042  4         0.0048  0              0  libjvm.so                Relocation::pd_call_destination(unsigned char*)
76        0.0042  9         0.0108  1         0.0023  libjvm.so                ShouldNotReachHereNode::is_block_proj() const
76        0.0042  6         0.0072  1         0.0023  vmlinux                  ftrace_define_fields_module_free
76        0.0042  2         0.0024  1         0.0023  vmlinux                  xt_mttg_seq_next
75        0.0041  5         0.0060  0              0  libjvm.so                Assembler::prefixq(Address, RegisterImpl*)
75        0.0041  1         0.0012  1         0.0023  libjvm.so                JVM_CurrentTimeMillis
75        0.0041  2         0.0024  0              0  libjvm.so                LinearScan::resolve_collect_mappings(BlockBegin*, BlockBegin*, MoveResolver&)
75        0.0041  1         0.0012  0              0  libjvm.so                LinearScan::use_kind_of_input_operand(LIR_Op*, LIR_OprDesc*)
75        0.0041  0              0  2         0.0046  libjvm.so                LinearScanWalker::split_before_usage(Interval*, int, int)
75        0.0041  0              0  2         0.0046  libjvm.so                PhaseChaitin::get_spillcopy_wide(Node*, Node*, unsigned int)
75        0.0041  5         0.0060  0              0  libjvm.so                PhiNode::hash() const
75        0.0041  2         0.0024  1         0.0023  libjvm.so                StubCodeDesc::desc_for(unsigned char*)
75        0.0041  3         0.0036  0              0  vmlinux                  prof_sysenter_enable__epoll_ctl
74        0.0041  1         0.0012  1         0.0023  libjvm.so                Copy::conjoint_memory_atomic(void*, void*, unsigned long)
74        0.0041  3         0.0036  3         0.0069  libjvm.so                PhaseChaitin::insert_proj(Block*, unsigned int, Node*, unsigned int)
74        0.0041  3         0.0036  2         0.0046  libjvm.so                Type::singleton() const
74        0.0041  9         0.0108  3         0.0069  libjvm.so                methodHandle::operator=(methodHandle const&)
73        0.0040  2         0.0024  1         0.0023  libjvm.so                AdvancedThresholdPolicy::common(bool (AdvancedThresholdPolicy::*)(int, int, CompLevel), Method*, CompLevel, bool)
73        0.0040  1         0.0012  0              0  libjvm.so                BoolNode::Opcode() const
73        0.0040  0              0  0              0  libjvm.so                LIR_Assembler::process_debug_info(LIR_Op*)
73        0.0040  2         0.0024  1         0.0023  libjvm.so                RelocIterator::reloc()
73        0.0040  2         0.0024  0              0  libjvm.so                TypeInt::eq(Type const*) const
73        0.0040  1         0.0012  1         0.0023  vmlinux                  prof_sysenter_enable__preadv
72        0.0040  8         0.0096  1         0.0023  libjvm.so                DecodeNNode::Opcode() const
72        0.0040  2         0.0024  1         0.0023  libjvm.so                LinearScan::create_unhandled_lists(Interval**, Interval**, bool (*)(Interval const*), bool (*)(Interval const*))
72        0.0040  2         0.0024  0              0  libjvm.so                Parse::init_blocks()
72        0.0040  8         0.0096  1         0.0023  libjvm.so                PhaseIdealLoop::get_loop(Node*) const
72        0.0040  4         0.0048  2         0.0046  libjvm.so                ciMethod::call_profile_at_bci(int)
72        0.0040  4         0.0048  2         0.0046  vmlinux                  ftrace_profile_disable_module_load
71        0.0039  2         0.0024  0              0  libc-2.12.so             mempcpy
71        0.0039  2         0.0024  2         0.0046  libjvm.so                ConNode::make(Compile*, Type const*)
71        0.0039  30        0.0360  116       0.2685  libjvm.so                ContiguousSpace::oop_since_save_marks_iterate_nv(FastScanClosure*)
71        0.0039  3         0.0036  3         0.0069  libjvm.so                InstanceKlass::uncached_lookup_method(Symbol*, Symbol*, Klass::MethodLookupMode) const
71        0.0039  5         0.0060  2         0.0046  libjvm.so                MachOper::num_edges() const
71        0.0039  4         0.0048  1         0.0023  libjvm.so                ciEnv::lookup_method(InstanceKlass*, InstanceKlass*, Symbol*, Symbol*, Bytecodes::Code)
71        0.0039  2         0.0024  1         0.0023  libjvm.so                ciMethod::should_exclude()
71        0.0039  3         0.0036  2         0.0046  vmlinux                  ping_seq_start
71        0.0039  2         0.0024  2         0.0046  vmlinux                  trace_current_buffer_unlock_commit
70        0.0039  5         0.0060  1         0.0023  libjvm.so                Block::num_fall_throughs()
70        0.0039  0              0  3         0.0069  libjvm.so                CodeHeap::next_free(HeapBlock*) const
70        0.0039  4         0.0048  1         0.0023  libjvm.so                PhaseCFG::implicit_null_check(Block*, Node*, Node*, int)
70        0.0039  6         0.0072  0              0  libjvm.so                TypeInt::singleton() const
69        0.0038  5         0.0060  0              0  libjvm.so                AddPNode::Value(PhaseTransform*) const
69        0.0038  2         0.0024  1         0.0023  libjvm.so                LinearScan::number_instructions()
69        0.0038  1         0.0012  1         0.0023  libjvm.so                MachNode::bottom_type() const
69        0.0038  3         0.0036  3         0.0069  libjvm.so                Node_Array::grow(unsigned int)
69        0.0038  5         0.0060  0              0  libjvm.so                PhaseIFG::test_edge_sq(unsigned int, unsigned int) const
69        0.0038  4         0.0048  12        0.0278  libjvm.so                Relocation::pd_address_in_code()
