CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
3529      0.1948  131       0.1574  60        0.1389  libjvm.so                jni_ExceptionOccurred
3450      0.1904  127       0.1526  70        0.1620  vmlinux                  aer_print_error
3429      0.1892  167       0.2006  79        0.1828  vmlinux                  init_exit__sendfile
3425      0.1890  153       0.1838  62        0.1435  vmlinux                  __dmar_enable_qi
3393      0.1872  176       0.2115  63        0.1458  vmlinux                  ip_route_output_flow
3381      0.1866  130       0.1562  53        0.1227  libjvm.so                JavaThread::thread_from_jni_environment(JNIEnv_*)
3332      0.1839  125       0.1502  77        0.1782  vmlinux                  init_exit__rt_sigtimedwait
3315      0.1829  140       0.1682  65        0.1504  vmlinux                  __ftrace_modify_code
3315      0.1829  137       0.1646  89        0.2060  vmlinux                  tc_ctl_tclass
3277      0.1808  117       0.1406  74        0.1713  libjvm.so                os::javaTimeMillis()
3273      0.1806  159       0.1910  57        0.1319  vmlinux                  dentry_path
3161      0.1744  111       0.1334  50        0.1157  libjvm.so                ObjectMonitor::EnterI(Thread*)
3132      0.1728  121       0.1454  73        0.1689  libjvm.so                JVM_IHashCode
3125      0.1725  163       0.1958  64        0.1481  vmlinux                  cgrp_create
3096      0.1709  188       0.2259  81        0.1875  libjvm.so                frame::sender_for_compiled_frame(RegisterMap*) const
3037      0.1676  286       0.3436  48        0.1111  libjvm.so                PhaseLive::compute(unsigned int)
3022      0.1668  120       0.1442  61        0.1412  vmlinux                  rt_intern_hash
2962      0.1635  138       0.1658  63        0.1458  vmlinux                  clockevents_register_device
2959      0.1633  112       0.1346  61        0.1412  vmlinux                  syscall_regfunc
2947      0.1626  125       0.1502  41        0.0949  vmlinux                  flush_signals
2941      0.1623  114       0.1370  50        0.1157  libpthread-2.12.so       pthread_self
2932      0.1618  135       0.1622  69        0.1597  vmlinux                  fcntl_setlk
2904      0.1603  67        0.0805  44        0.1018  libjvm.so                DebugInformationRecorder::find_sharable_decode_offset(int)
2849      0.1572  128       0.1538  60        0.1389  libjvm.so                CodeCache::find_blob(void*)
2841      0.1568  171       0.2054  74        0.1713  libjvm.so                frame::sender(RegisterMap*) const
2831      0.1562  106       0.1274  55        0.1273  vmlinux                  rw_verify_area
2822      0.1557  140       0.1682  46        0.1065  vmlinux                  module_kallsyms_on_each_symbol
2797      0.1544  111       0.1334  101       0.2337  libjvm.so                objArrayOopDesc::obj_at_put(int, oopDesc*)
2792      0.1541  95        0.1141  41        0.0949  libjvm.so                os::PlatformEvent::park(long)
2779      0.1534  125       0.1502  67        0.1551  iptable_mangle           /iptable_mangle
2757      0.1521  144       0.1730  66        0.1527  vmlinux                  find_inode_number
2745      0.1515  137       0.1646  56        0.1296  vmlinux                  sys_mincore
2717      0.1499  249       0.2992  78        0.1805  libjvm.so                PhaseIdealLoop::build_loop_early(VectorSet&, Node_List&, Node_Stack&)
2704      0.1492  155       0.1862  23        0.0532  libjvm.so                PhaseChaitin::post_allocate_copy_removal()
2688      0.1483  91        0.1093  44        0.1018  vmlinux                  hibernate
2667      0.1472  140       0.1682  43        0.0995  vmlinux                  pfn_to_dma_pte
2663      0.1470  103       0.1237  38        0.0879  libjvm.so                PhaseChaitin::elide_copy(Node*, int, Block*, Node_List&, Node_List&, bool)
2648      0.1461  119       0.1430  57        0.1319  vmlinux                  __get_user_pages
2645      0.1460  147       0.1766  61        0.1412  vmlinux                  snapshot_write_next
2629      0.1451  88        0.1057  43        0.0995  vmlinux                  save_i387_fxsave
2602      0.1436  99        0.1189  68        0.1574  vmlinux                  software_resume
2598      0.1434  99        0.1189  51        0.1180  vmlinux                  vfs_quota_sync
2597      0.1433  104       0.1250  75        0.1736  libjvm.so                nmethod::is_zombie() const
2594      0.1432  113       0.1358  64        0.1481  vmlinux                  ip_mroute_setsockopt
2594      0.1432  123       0.1478  68        0.1574  vmlinux                  ip_rt_frag_needed
2588      0.1428  110       0.1322  56        0.1296  vmlinux                  init_exit__llseek
2578      0.1423  102       0.1225  55        0.1273  vmlinux                  load_balance_fair
